Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
14,3,14-3,Leaf,,,,,-0.061272487,48.1491013,
14,4,14-4,cost_per_road_hour,50.3312798,14-5,14-6,14-6,146.389587,473.679688,
14,5,14-5,revenue_per_kent_leg,70.0001984,14-7,14-8,14-8,134.249298,441.323425,
14,6,14-6,Leaf,,,,,-0.0602035709,32.3562546,
14,7,14-7,Leaf,,,,,-0.0612918995,25.1213551,
14,8,14-8,vehicle_utilization,0.949723125,14-9,14-10,14-10,131.396118,416.202057,
14,9,14-9,Leaf,,,,,-0.0640406013,20.551527,
14,10,14-10,Leaf,,,,,0.0371621065,395.650543,
15,0,15-0,high_acuity_share,0.0498093776,15-1,15-2,15-2,279.748779,638.384583,
15,1,15-1,Leaf,,,,,-0.0567445569,113.708923,
15,2,15-2,non_billable_noshow,0.0997218192,15-3,15-4,15-4,169.067413,524.675659,
15,3,15-3,total_volume_pool,1.20034683,15-5,15-6,15-6,139.182663,476.988403,
15,4,15-4,non_billable_noshow,0.100725584,15-7,15-8,15-8,0.752532959,47.6872368,
15,5,15-5,Leaf,,,,,-0.0638926476,28.9668598,
15,6,15-6,billed_utilization,1.04988921,15-9,15-10,15-10,132.113037,448.021545,
15,7,15-7,Leaf,,,,,-0.0185684822,2.34239483,
15,8,15-8,Leaf,,,,,-0.0601903237,45.344841,
15,9,15-9,Leaf,,,,,-0.0661255792,23.020525,
15,10,15-10,contract_concentration,0.200034514,15-11,15-12,15-12,138.574966,425.001007,
15,11,15-11,Leaf,,,,,0.0355869271,401.71225,
15,12,15-12,Leaf,,,,,-0.0625997409,23.2887573,
16,0,16-0,billed_utilization,1.04988921,16-1,16-2,16-2,266.454224,616.57489,
16,1,16-1,Leaf,,,,,-0.056250181,108.645355,
16,2,16-2,road_hours_per_vehicle,9.00397682,16-3,16-4,16-4,168.932709,507.929504,
16,3,16-3,Leaf,,,,,-0.0591786839,46.6026001,
16,4,16-4,vehicle_utilization,0.949723125,16-5,16-6,16-6,137.37027,461.326904,
16,5,16-5,Leaf,,,,,-0.0613039136,30.0261135,
16,6,16-6,total_volume_pool,1.20034683,16-7,16-8,16-8,135.387482,431.300812,
16,7,16-7,Leaf,,,,,-0.0641382337,24.2090111,
16,8,16-8,contract_concentration,0.200034514,16-9,16-10,16-10,130.830231,407.091797,
16,9,16-9,Leaf,,,,,0.0366551355,384.839417,
16,10,16-10,Leaf,,,,,-0.0608600229,22.2523632,
17,0,17-0,high_acuity_share,0.0498093776,17-1,17-2,17-2,255.516968,611.29071,
17,1,17-1,Leaf,,,,,-0.0552916452,109.923584,
17,2,17-2,road_hours_per_vehicle,9.00397682,17-3,17-4,17-4,155.887329,501.367096,
17,3,17-3,Leaf,,,,,-0.0585979149,44.6702538,
17,4,17-4,total_volume_pool,1.20034683,17-5,17-6,17-6,124.761986,456.696869,
17,5,17-5,Leaf,,,,,-0.0602609441,28.7551193,
17,6,17-6,vehicle_utilization,0.949723125,17-7,17-8,17-8,120.718719,427.941742,
17,7,17-7,Leaf,,,,,-0.0607906245,24.053236,
17,8,17-8,contract_concentration,0.200034514,17-9,17-10,17-10,121.09639,403.888489,
17,9,17-9,Leaf,,,,,0.0347592272,382.030762,
17,10,17-10,Leaf,,,,,-0.0598216951,21.8577271,
18,0,18-0,cost_per_road_hour,50.3312798,18-1,18-2,18-2,237.372299,610.25061,
18,1,18-1,non_billable_noshow,0.0997218192,18-3,18-4,18-4,153.523529,505.340912,
18,2,18-2,Leaf,,,,,-0.0546739511,104.909729,
18,3,18-3,revenue_per_kent_leg,70.0001984,18-5,18-6,18-6,126.000557,458.221619,
18,4,18-4,non_billable_noshow,0.100725584,18-7,18-8,18-8,1.57542419,47.1192856,
18,5,18-5,Leaf,,,,,-0.0597406141,29.7939167,
18,6,18-6,billed_utilization,1.04988921,18-9,18-10,18-10,121.270279,428.427704,
18,7,18-7,Leaf,,,,,-0.0144620407,2.53670192,
18,8,18-8,Leaf,,,,,-0.0586027354,44.5825806,
18,9,18-9,Leaf,,,,,-0.0636291504,22.8475723,
18,10,18-10,road_hours_per_vehicle,9.00397682,18-11,18-12,18-12,121.586914,405.580109,
18,11,18-11,Leaf,,,,,-0.0614128374,21.4394054,
18,12,18-12,Leaf,,,,,0.0341582261,384.140717,
19,0,19-0,non_billable_noshow,0.0997218192,19-1,19-2,19-2,222.800217,595.859497,
19,1,19-1,cost_per_road_hour,50.3312798,19-3,19-4,19-4,142.741074,493.42746,
19,2,19-2,Leaf,,,,,-0.0540534332,102.43203,
19,3,19-3,revenue_per_kent_leg,70.0001984,19-5,19-6,19-6,122.98735,448.254486,
19,4,19-4,Leaf,,,,,-0.0563914105,45.172966,
19,5,19-5,Leaf,,,,,-0.0588236563,30.4201756,
19,6,19-6,vehicle_utilization,0.949723125,19-7,19-8,19-8,120.746643,417.83432,
19,7,19-7,Leaf,,,,,-0.0605552308,24.8338127,
19,8,19-8,road_hours_per_vehicle,9.00397682,19-9,19-10,19-10,118.631577,393.000519,
19,9,19-9,Leaf,,,,,-0.0619202368,20.8483791,
19,10,19-10,Leaf,,,,,0.033750806,372.15213,
20,0,20-0,high_acuity_share,0.0498093776,20-1,20-2,20-2,212.532211,589.309814,
20,1,20-1,Leaf,,,,,-0.0537946112,99.4482346,
20,2,20-2,cost_per_road_hour,50.3312798,20-3,20-4,20-4,136.836395,489.861603,
20,3,20-3,non_billable_noshow,0.0997218192,20-5,20-6,20-6,116.35511,444.904816,
20,4,20-4,Leaf,,,,,-0.0555760078,44.9567719,
20,5,20-5,contract_concentration,0.200034514,20-7,20-8,20-8,108.387222,414.168945,
20,6,20-6,non_billable_noshow,0.100725584,20-9,20-10,20-10,2.11341858,30.7358704,
20,7,20-7,revenue_per_kent_leg,70.0001984,20-11,20-12,20-12,115.012009,390.86438,
20,8,20-8,Leaf,,,,,-0.0593655482,23.304575,
20,9,20-9,Leaf,,,,,-0.0124989841,2.56425071,
20,10,20-10,Leaf,,,,,-0.0601000972,28.1716194,
20,11,20-11,Leaf,,,,,-0.0592016503,21.9859447,
20,12,20-12,Leaf,,,,,0.0328049026,368.878418,
21,0,21-0,high_acuity_share,0.0498093776,21-1,21-2,21-2,209.275253,582.809998,
21,1,21-1,Leaf,,,,,-0.0533502549,98.2390366,
21,2,21-2,non_billable_noshow,0.0997218192,21-3,21-4,21-4,132.169281,484.570984,
21,3,21-3,total_volume_pool,1.20034683,21-5,21-6,21-6,113.952789,440.912537,
21,4,21-4,revenue_per_kent_leg,109.241493,21-7,21-8,21-8,0.159950256,43.6584282,
21,5,21-5,Leaf,,,,,-0.0605712384,27.2433052,
21,6,21-6,cost_per_road_hour,50.3312798,21-9,21-10,21-10,108.389847,413.66925,
21,7,21-7,Leaf,,,,,-0.0565879196,40.7366295,
21,8,21-8,Leaf,,,,,-0.0230002142,2.92180014,
21,9,21-9,road_hours_per_vehicle,9.00397682,21-11,21-12,21-12,108.918549,389.252075,
21,10,21-10,Leaf,,,,,-0.0576171279,24.4171658,
21,11,21-11,Leaf,,,,,-0.0597400703,20.5854015,
21,12,21-12,Leaf,,,,,0.0324750766,368.666687,
22,0,22-0,billed_utilization,1.04988921,22-1,22-2,22-2,197.906235,579.014893,
22,1,22-1,Leaf,,,,,-0.0536897965,93.3632736,
22,2,22-2,vehicle_utilization,0.949723125,22-3,22-4,22-4,131.298538,485.651642,
22,3,22-3,Leaf,,,,,-0.0559036285,43.3877754,
22,4,22-4,revenue_per_kent_leg,70.0001984,22-5,22-6,22-6,113.165184,442.263855,
22,5,22-5,Leaf,,,,,-0.0570154786,30.3209953,
22,6,22-6,total_volume_pool,1.20034683,22-7,22-8,22-8,107.155373,411.942871,
22,7,22-7,Leaf,,,,,-0.0610021874,22.5414963,
22,8,22-8,contract_concentration,0.200034514,22-9,22-10,22-10,115.601486,389.401367,
22,9,22-9,Leaf,,,,,0.0320948176,366.716156,
22,10,22-10,Leaf,,,,,-0.0588714555,22.6852169,
23,0,23-0,high_acuity_share,0.0498093776,23-1,23-2,23-2,198.032379,567.988953,
23,1,23-1,Leaf,,,,,-0.0524694771,94.561615,
23,2,23-2,billed_utilization,1.04988921,23-3,23-4,23-4,122.179916,473.427338,
23,3,23-3,Leaf,,,,,-0.0569337457,38.1613503,
23,4,23-4,vehicle_utilization,0.949723125,23-5,23-6,23-6,105.932861,435.265991,
23,5,23-5,Leaf,,,,,-0.0572839528,27.8084087,
23,6,23-6,total_volume_pool,1.20034683,23-7,23-8,23-8,102.623131,407.457581,
23,7,23-7,Leaf,,,,,-0.0592176467,22.4227867,
23,8,23-8,contract_concentration,0.200034514,23-9,23-10,23-10,111.664032,385.03479,
23,9,23-9,Leaf,,,,,0.0322036445,362.409546,
23,10,23-10,Leaf,,,,,-0.0573453084,22.625248,
24,0,24-0,high_acuity_share,0.0498093776,24-1,24-2,24-2,184.034012,557.74939,
24,1,24-1,Leaf,,,,,-0.05179023,92.6848068,
24,2,24-2,road_hours_per_vehicle,9.00397682,24-3,24-4,24-4,116.275566,465.064545,
24,3,24-3,Leaf,,,,,-0.054817047,39.7448006,
24,4,24-4,revenue_per_kent_leg,70.0001984,24-5,24-6,24-6,104.311325,425.319763,
24,5,24-5,Leaf,,,,,-0.0562031418,28.8272018,
24,6,24-6,vehicle_utilization,0.949723125,24-7,24-8,24-8,101.661987,396.492554,
24,7,24-7,Leaf,,,,,-0.0580495,23.2295227,
24,8,24-8,total_volume_pool,1.20034683,24-9,24-10,24-10,106.448624,373.263031,
24,9,24-9,Leaf,,,,,-0.0590394065,20.9442196,
24,10,24-10,Leaf,,,,,0.0315288976,352.318817,
25,0,25-0,billed_utilization,1.04988921,25-1,25-2,25-2,169.537704,548.877625,
25,1,25-1,Leaf,,,,,-0.0520054996,86.207016,
25,2,25-2,non_billable_noshow,0.0997218192,25-3,25-4,25-4,110.053528,462.670624,
25,3,25-3,cost_per_road_hour,50.3312798,25-5,25-6,25-6,98.0472412,422.786407,
25,4,25-4,non_billable_noshow,0.100725584,25-7,25-8,25-8,0.766052246,39.884201,
25,5,25-5,revenue_per_kent_leg,70.0001984,25-9,25-10,25-10,96.2594528,395.067261,
25,6,25-6,Leaf,,,,,-0.0564001128,27.7191353,
25,7,25-7,Leaf,,,,,-0.0183114689,2.76467991,
25,8,25-8,Leaf,,,,,-0.0556849912,37.1195221,
25,9,25-9,Leaf,,,,,-0.0563263409,23.7113533,
25,10,25-10,contract_concentration,0.200034514,25-11,25-12,25-12,99.3979034,371.355927,
25,11,25-11,Leaf,,,,,0.0301063489,350.267212,
25,12,25-12,Leaf,,,,,-0.0571512245,21.0886974,
26,0,26-0,cost_per_road_hour,50.3312798,26-1,26-2,26-2,162.613419,540.571899,
26,1,26-1,road_hours_per_vehicle,9.00397682,26-3,26-4,26-4,112.414307,455.699493,
26,2,26-2,Leaf,,,,,-0.0507612303,84.8723907,
26,3,26-3,Leaf,,,,,-0.0540543981,39.7904701,
26,4,26-4,non_billable_noshow,0.0997218192,26-5,26-6,26-6,93.2818451,415.909027,
26,5,26-5,contract_concentration,0.200034514,26-7,26-8,26-8,90.8598633,388.448181,
26,6,26-6,non_billable_noshow,0.100725584,26-9,26-10,26-10,1.78078079,27.4608555,
26,7,26-7,billed_utilization,1.04988921,26-11,26-12,26-12,96.728302,366.151642,
26,8,26-8,Leaf,,,,,-0.0559363365,22.2965202,
26,9,26-9,Leaf,,,,,-0.0124922441,2.53239107,
26,10,26-10,Leaf,,,,,-0.0576777272,24.9284649,
26,11,26-11,Leaf,,,,,-0.061013326,18.5673466,
26,12,26-12,Leaf,,,,,0.0301084947,347.58432,
27,0,27-0,high_acuity_share,0.0498093776,27-1,27-2,27-2,157.618546,535.900208,
27,1,27-1,Leaf,,,,,-0.051040139,84.3256226,
27,2,27-2,road_hours_per_vehicle,9.00397682,27-3,27-4,27-4,105.228233,451.574615,
27,3,27-3,Leaf,,,,,-0.0537902713,38.8130836,
27,4,27-4,cost_per_road_hour,49.9392853,27-5,27-6,27-6,93.1719589,412.761536,
27,5,27-5,total_volume_pool,1.20034683,27-7,27-8,27-8,89.6647568,383.517487,
27,6,27-6,Leaf,,,,,-0.0532790683,29.2440414,
27,7,27-7,Leaf,,,,,-0.057957314,21.4190006,
27,8,27-8,non_billable_noshow,0.0997218192,27-9,27-10,27-10,92.688797,362.09848,
27,9,27-9,Leaf,,,,,0.0291622039,342.099731,
27,10,27-10,Leaf,,,,,-0.0571698695,19.9987392,
28,0,28-0,high_acuity_share,0.0498093776,28-1,28-2,28-2,149.495224,524.697937,
28,1,28-1,Leaf,,,,,-0.0504186302,82.4594193,
28,2,28-2,revenue_per_kent_leg,70.0001984,28-3,28-4,28-4,97.0289078,442.238495,
28,3,28-3,Leaf,,,,,-0.0536052547,36.4130592,
28,4,28-4,vehicle_utilization,0.949723125,28-5,28-6,28-6,89.7590485,405.825439,
28,5,28-5,Leaf,,,,,-0.0567871742,25.9461803,
28,6,28-6,total_volume_pool,1.20034683,28-7,28-8,28-8,91.535347,379.879272,
28,7,28-7,Leaf,,,,,-0.0566988438,23.1113701,
28,8,28-8,contract_concentration,0.200034514,28-9,28-10,28-10,97.3828964,356.767883,
28,9,28-9,Leaf,,,,,0.0290287342,334.501068,
28,10,28-10,Leaf,,,,,-0.055384472,22.2668095,
29,0,29-0,high_acuity_share,0.0498093776,29-1,29-2,29-2,144.328781,519.159607,
29,1,29-1,Leaf,,,,,-0.0498451516,79.6147232,
29,2,29-2,road_hours_per_vehicle,9.00397682,29-3,29-4,29-4,99.8937073,439.544891,
29,3,29-3,Leaf,,,,,-0.0530371927,37.5712814,
29,4,29-4,billed_utilization,1.04988921,29-5,29-6,29-6,89.3140259,401.973633,
29,5,29-5,Leaf,,,,,-0.0582859106,24.3340092,
29,6,29-6,cost_per_road_hour,49.9392853,29-7,29-8,29-8,84.6632614,377.639618,
29,7,29-7,vehicle_utilization,0.949723125,29-9,29-10,29-10,89.9320908,354.965332,
29,8,29-8,vehicle_utilization,1.20946527,29-11,29-12,29-12,0.457839966,22.674284,
29,9,29-9,Leaf,,,,,-0.0577413589,19.2648468,
29,10,29-10,Leaf,,,,,0.0287672207,335.70047,
29,11,29-11,Leaf,,,,,-0.0566029623,20.4212723,
29,12,29-12,Leaf,,,,,-0.0178308897,2.25301218,
30,0,30-0,total_volume_pool,1.20034683,30-1,30-2,30-2,131.358673,508.489868,
30,1,30-1,Leaf,,,,,-0.0494469404,74.9237366,
30,2,30-2,road_hours_per_vehicle,9.00397682,30-3,30-4,30-4,92.2115173,433.566132,
30,3,30-3,Leaf,,,,,-0.0520974472,36.7266998,
30,4,30-4,vehicle_utilization,0.949723125,30-5,30-6,30-6,84.3233795,396.839447,
30,5,30-5,Leaf,,,,,-0.0546966381,26.1251431,
30,6,30-6,billed_utilization,1.04988921,30-7,30-8,30-8,86.08638,370.714294,
30,7,30-7,Leaf,,,,,-0.0583853088,20.9925175,
30,8,30-8,contract_concentration,0.200034514,30-9,30-10,30-10,92.8458405,349.721771,
30,9,30-9,Leaf,,,,,0.0282847658,327.990662,
30,10,30-10,Leaf,,,,,-0.055083666,21.7311172,
